model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance
ConvNN-2k,2548.0,last_layer,kron,0.0099999997764825,1.5953358,1.5967656,1.5739052,1.5753282,1.59213359375,1.600548218650818,0.0252199877929687,170,0.20617449015434453,0.02549680794028679,0.9160746335983276
ConvNN-5k,5001.0,last_layer,kron,0.0099999997764825,1.5318372,1.5341423,1.489212,1.491378,1.5157459375,1.5279535063552856,0.036575556640625,260,0.2625028373157836,0.036852603903862365,1.0486071109771729
ConvNN-9k,9663.0,last_layer,kron,0.0099999997764825,1.3302096,1.3332582,1.2442403,1.2470461,1.278991796875,1.2934272702407836,0.0463811572265625,340,0.3180243573296726,0.0466584006057339,1.257748007774353
ConvNN-15k,15888.0,last_layer,kron,0.0099999997764825,1.2255212,1.2295579,1.0489181,1.0523658,1.09411328125,1.1135867710876466,0.0612209912109375,430,0.3915001910251097,0.06149853139272465,1.531406283378601
ConvNN-21k,21344.0,last_layer,kron,0.0099999997764825,1.2318549,1.2369349,1.0106184,1.014692,1.063100390625,1.0848165338516236,0.0701245849609375,510,0.43372967054990963,0.07040230321816116,1.695656180381775
ConvNN-30k,30119.0,last_layer,kron,0.0099999997764825,1.1522806,1.1587276,0.84134716,0.84594285,0.901180390625,0.9246884066390992,0.0787455517578125,590,0.47548041488754855,0.07902344243782054,1.8766746520996094
ConvNN-37k,37591.0,last_layer,kron,0.0099999997764825,1.1945922,1.2025585,0.8093642,0.81450325,0.8778971875,0.906270068912506,0.09176681640625,680,0.5347739128992386,0.09204496751675963,2.086756467819214
ConvNN-48k,48987.0,last_layer,kron,0.0099999997764825,1.1087102,1.1178702,0.69590175,0.7014006,0.77016953125,0.7963645331001281,0.094963955078125,760,0.5425096428803198,0.09524217013268695,2.157489776611328
ConvNN-62k,62006.0,last_layer,kron,0.0099999997764825,1.1743134,1.1868987,0.564073,0.5697489,0.647727578125,0.6797024429321289,0.109953564453125,850,0.6617919717257759,0.11023207930587041,2.966705799102783
ConvNN-72k,72421.0,last_layer,kron,0.0099999997764825,1.2002385,1.2156991,0.48357677,0.48934522,0.5733965625,0.6043011406803132,0.11495591796875,930,0.7253408416087896,0.1152345328705667,3.5538182258605957
ConvNN-87k,87930.0,last_layer,kron,0.0099999997764825,1.3343912,1.3528864,0.45207483,0.45799166,0.55107390625,0.5876088764381409,0.129617216796875,1010,0.8326085164233635,0.12989612493053287,4.15871524810791
