model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance
ConvNN-2k,2548.0,last_layer,kron,6.602893352508545,1.5953352,1.5967339,1.5739056,1.5752941,1.583736875,7.352066012001037,5.776771875,170,1.5329503871907766,5.777163728485729,0.9160117506980896
ConvNN-5k,5001.0,last_layer,kron,10.681053161621094,1.5318573,1.5339518,1.4892112,1.491232,1.50240890625,15.08773953754425,13.5965075,260,1.5143785188590542,13.597055751326186,1.0479718446731567
ConvNN-9k,9663.0,last_layer,kron,13.61765956878662,1.3302398,1.3330511,1.2442429,1.2468393,1.26003578125,21.77284428489685,20.526005,340,1.333224389147063,20.52669184404804,1.257200002670288
ConvNN-15k,15888.0,last_layer,kron,14.093487739562988,1.225531,1.2294643,1.0489155,1.0522765,1.0698925,29.66441649211884,28.61214,430,1.2296085015688205,28.61298856998256,1.531160593032837
ConvNN-21k,21344.0,last_layer,kron,13.85585594177246,1.2318906,1.2367547,1.0106065,1.014519,1.034496875,32.31144897621155,31.29693,510,1.2369804785420138,31.297832266856496,1.6951117515563965
ConvNN-30k,30119.0,last_layer,kron,14.940926551818848,1.1523687,1.1585132,0.8413368,0.8457178,0.8676984375,37.60394778774261,36.75823,590,1.1587785904732695,36.75924149504105,1.8759105205535889
ConvNN-37k,37591.0,last_layer,kron,16.222949981689453,1.1948595,1.2021145,0.8093011,0.8140685,0.839172265625,48.82994349622727,48.015875,680,1.2025497406708534,48.01711165244421,2.0846571922302246
ConvNN-48k,48987.0,last_layer,kron,16.27998924255371,1.1088793,1.1174463,0.69584084,0.70097095,0.7265609375,45.97943094774247,45.27846,760,1.1177932430723967,45.27964190304922,2.1560075283050537
ConvNN-62k,62006.0,last_layer,kron,16.903446197509766,1.1747956,1.1863701,0.5639569,0.5692541,0.5988178125,57.555024100322726,56.98577,850,1.1869067463741654,56.98718605393224,2.9637961387634277
ConvNN-72k,72421.0,last_layer,kron,17.3216495513916,1.2007339,1.2151836,0.48345262,0.48887283,0.519397578125,57.7143678260994,57.225495,930,1.215539667058113,57.22691584852813,3.551311731338501
ConvNN-87k,87930.0,last_layer,kron,18.09950256347656,1.3349173,1.3524208,0.45194834,0.4575703,0.4920094140625,70.48741031440734,70.02984,1010,1.353187702750277,70.03151694054996,4.156344890594482
ConvNN-100k,100421.0,last_layer,kron,18.82654571533203,1.3967563,1.4178185,0.3959716,0.40165243,0.4378857421875,77.37318742552758,76.971535,1100,1.4186388390757043,76.9733507772267,4.95002555847168
ConvNN-118k,118551.0,last_layer,kron,17.71633529663086,1.477053,1.5058688,0.26260832,0.26738262,0.305310546875,72.89611762176514,72.628735,1180,1.5068070205410466,72.63046391948956,6.644529819488525
ConvNN-138k,138364.0,last_layer,kron,18.65718078613281,1.6021941,1.6397743,0.2108983,0.21545863,0.25406896484375,77.4835136315155,77.268055,1270,1.6403391183923597,77.26987670774531,8.172158241271973
ConvNN-153k,153738.0,last_layer,kron,18.414365768432617,1.5734421,1.6164151,0.17960453,0.18369623,0.22281484375,75.15273622528554,74.96904,1350,1.6170641450006604,74.9708157265257,8.30392837524414
ConvNN-175k,175981.0,last_layer,kron,19.062061309814453,1.6835724,1.7354771,0.1448035,0.14855137,0.1886494921875,78.52770137467384,78.37915,1430,1.7360963243540881,78.38099393008976,9.970443725585938
ConvNN-193k,193491.0,last_layer,kron,19.347177505493164,1.7750331,1.8387531,0.12122077,0.12460048,0.164488046875,77.61658547751665,77.491985,1520,1.8395177422457565,77.49381118643488,11.407472610473633
ConvNN-218k,218355.0,last_layer,kron,19.299251556396484,1.8234191,1.9116215,0.082237594,0.085144676,0.12491810546875,75.3080596762681,75.222915,1600,1.9125590644276382,75.22469580412724,13.119497299194336
ConvNN-244k,244962.0,last_layer,kron,19.06961250305176,2.025827,2.145145,0.057484582,0.059895106,0.097847109375,68.88913010565996,68.829235,1690,2.1455693330778116,68.83088792796971,15.890813827514648
