model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal,normalized KL
ConvNN-4k,4928.0,all,kron,25.976757049560547,1.5685006,1.6027589,1.5407985,1.5740439,1.67836140625,0.10431753627777107
ConvNN-7k,7774.0,all,kron,34.2634391784668,1.4485215,1.5026197,1.3866199,1.4382865,1.59626921875,0.157982675857544
ConvNN-12k,12672.0,all,kron,47.16954040527344,1.3170714,1.4070334,1.2149751,1.2956432,1.5220965625,0.22645335208892825
ConvNN-18k,18870.0,all,kron,57.186073303222656,1.2232584,1.3511939,1.065833,1.1739342,1.4846334375,0.3106992162322999
ConvNN-24k,24166.0,all,kron,65.88363647460938,1.173682,1.348331,0.9565178,1.0942388,1.48602765625,0.3917888981628419
ConvNN-32k,32589.0,all,kron,74.9185791015625,1.1379021,1.3637121,0.8652264,1.0303732,1.50378125,0.47340803432464607
ConvNN-39k,39410.0,all,kron,85.24170684814453,1.1678698,1.4639075,0.81458926,1.0116045,1.5910075,0.5794029524993896
ConvNN-50k,50058.0,all,kron,93.45177459716797,1.1130426,1.4827557,0.72299343,0.9513944,1.6161028125,0.6647084333610536
ConvNN-62k,62006.0,all,kron,96.44239807128906,1.0635875,1.5256813,0.64186853,0.9039057,1.6332296875,0.729323997783661
ConvNN-71k,71277.0,all,kron,106.59578704833984,1.1049552,1.6410861,0.6237082,0.9086077,1.73459859375,0.8259908724212646
ConvNN-85k,85450.0,all,kron,118.4248046875,1.1164082,1.8361994,0.54043436,0.8729467,1.86682078125,0.9938741016578674
ConvNN-96k,96246.0,all,kron,120.93587493896484,1.127093,1.9460931,0.5161618,0.8791767,1.92285375,1.043677073726654
ConvNN-112k,112644.0,all,kron,129.17184448242188,1.081377,2.0629313,0.45440722,0.8570609,2.015325,1.1582640907287596
ConvNN-130k,130342.0,all,kron,130.52003479003906,1.0371375,2.1865263,0.43164405,0.8897882,2.047241875,1.1574536646080018
ConvNN-143k,143588.0,all,kron,137.66900634765625,1.1069866,2.531996,0.40319937,0.92533636,2.1894121875,1.2640758265686034
ConvNN-163k,163511.0,all,kron,141.253662109375,1.0967832,2.8377333,0.38876492,1.0120944,2.24676953125,1.2346751527786255
ConvNN-178k,178282.0,all,kron,147.20822143554688,1.1166904,3.2056005,0.39332828,1.1428734,2.3215028125,1.1786294060897826
ConvNN-200k,200430.0,all,kron,147.37142944335938,1.08997,3.7651057,0.39838797,1.4076978,2.31924125,0.9115434531784059
ConvNN-223k,223878.0,all,kron,147.26339721679688,1.0497477,3.7309015,0.40063608,1.4438715,2.259469375,0.81559787689209
ConvNN-241k,241099.0,all,kron,148.7760772705078,1.044642,3.8640847,0.41370475,1.5477525,2.2807171875,0.7329646879196168
ConvNN-266k,266772.0,all,kron,146.32278442382812,1.0382535,4.2778196,0.43664542,1.8149204,2.25234609375,0.4374256683349609
ConvNN-285k,285518.0,all,kron,143.41070556640625,1.0165071,4.600992,0.4497997,2.0549374,2.17685640625,0.12191904357910177
ConvNN-313k,313416.0,all,kron,136.229248046875,1.0017395,5.158601,0.48497182,2.5253448,2.03584125,-0.4895035986328127
ConvNN-342k,342614.0,all,kron,136.49778747558594,0.98410827,5.1598215,0.49133244,2.591502,2.035765625,-0.5557363262176516
ConvNN-363k,363810.0,all,kron,133.74623107910156,1.0105203,5.8575363,0.53107494,3.0870533,1.9806565625,-1.1063967364501952
ConvNN-395k,395233.0,all,kron,129.88291931152344,1.037354,6.6720552,0.5774063,3.727697,1.91898703125,-1.8087098643493653
ConvNN-417k,417954.0,all,kron,126.64920806884766,1.0075485,6.4295864,0.56597453,3.618986,1.88071703125,-1.7382688600921632
ConvNN-451k,451602.0,all,kron,130.503662109375,1.0381849,6.7507973,0.59045357,3.849956,1.9276240625,-1.9223319731140136
ConvNN-486k,486550.0,all,kron,127.69915008544922,1.0155884,6.6234303,0.5945408,3.883541,1.86162984375,-2.021911263427734
ConvNN-511k,511721.0,all,kron,130.50030517578125,1.040425,6.8784623,0.60141116,3.9795253,1.9159196875,-2.0636056401824954
ConvNN-548k,548894.0,all,kron,130.63168334960938,1.0386463,6.929056,0.6174447,4.1359625,1.90748578125,-2.2284767050170897
ConvNN-575k,575590.0,all,kron,129.80093383789062,1.0380317,6.9649405,0.6193811,4.1690307,1.9145959375,-2.2544347288513187
ConvNN-614k,614988.0,all,kron,129.2521209716797,1.0532198,7.2255716,0.63671994,4.391072,1.91295703125,-2.4781147651672364
ConvNN-655k,655686.0,all,kron,127.79344177246094,1.0118876,6.780298,0.621455,4.1677704,1.89069984375,-2.2770705419921873
ConvNN-684k,684832.0,all,kron,128.31277465820312,1.0444609,7.155078,0.6432424,4.4016185,1.9007146875,-2.500903793182373
ConvNN-727k,727755.0,all,kron,127.24788665771484,1.0103123,6.87774,0.634945,4.3231554,1.89573515625,-2.4274202468872073
ConvNN-758k,758426.0,all,kron,130.3872833251953,1.0387218,7.1927543,0.65128386,4.498419,1.9573040625,-2.5411147454833984
ConvNN-803k,803574.0,all,kron,129.0383758544922,1.0448028,7.3188953,0.66047645,4.63339,1.9415828125,-2.691807137298584
ConvNN-850k,850022.0,all,kron,126.92259979248047,1.0335398,7.24338,0.6537634,4.581804,1.93329640625,-2.648507392425537
ConvNN-883k,883143.0,all,kron,127.99114990234375,1.0315846,7.2492137,0.6596489,4.6261497,1.950441875,-2.6757077793884276
ConvNN-931k,931816.0,all,kron,125.41506958007812,1.0455196,7.487077,0.677739,4.8403697,1.91857921875,-2.9217904826354983
ConvNN-966k,966462.0,all,kron,126.24584197998047,1.0420003,7.4039154,0.676335,4.8106503,1.95304328125,-2.85760706741333
ConvNN-1017k,1017360.0,all,kron,125.63700866699219,1.0346602,7.3353286,0.6770139,4.796923,1.9619803125,-2.834942848052979
ConvNN-1069k,1069558.0,all,kron,126.0401840209961,1.0560569,7.60266,0.6896414,4.96436,1.9885840625,-2.975776174621582
ConvNN-1106k,1106654.0,all,kron,126.06434631347656,1.0606097,7.7167606,0.69377005,5.05438,1.99582421875,-3.058555721282959
ConvNN-1161k,1161077.0,all,kron,124.49600219726562,1.044474,7.5424294,0.69405514,5.0006166,1.96488796875,-3.0357285816955564
ConvNN-1199k,1199698.0,all,kron,125.72978973388672,1.0577166,7.7405357,0.70737845,5.1643295,2.00057828125,-3.1637512475585936
ConvNN-1256k,1256346.0,all,kron,120.7349624633789,1.0439847,7.717795,0.707159,5.2261915,1.93291296875,-3.293278551940918
