model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance
ConvNN-2k,2548.0,last_layer,kron,100.0,1.5953375,1.5965608,1.5739022,1.5751158,1.6010353125,94.03609579990388,92.46098,170,1.5605976356348656,92.4631055723226,0.9156609773635864
ConvNN-5k,5001.0,last_layer,kron,100.0,1.5318635,1.5337656,1.4892095,1.4910526,1.51544359375,136.54128262756348,135.05023,260,1.515220005550935,135.05320737435864,1.0475564002990723
ConvNN-9k,9663.0,last_layer,kron,100.0,1.3302721,1.332686,1.2442411,1.2464782,1.2725428125,163.1569681999588,161.91049,340,1.3342670249774673,161.914004590303,1.2562867403030396
ConvNN-15k,15888.0,last_layer,kron,100.0,1.2255841,1.2290671,1.0489063,1.0518823,1.085608359375,216.57872226699828,215.52684,430,1.231088955569589,215.53142693874995,1.53008234500885
ConvNN-21k,21344.0,last_layer,kron,100.0,1.2319814,1.2362162,1.0105804,1.0139974,1.053370546875,243.04707743556972,242.03308,510,1.2385441867402576,242.03819707415263,1.6935230493545532
ConvNN-30k,30119.0,last_layer,kron,100.0,1.1525669,1.1578512,0.84128726,0.8450608,0.88727984375,266.5726608253479,265.7276,590,1.1604089189191702,265.73319097403066,1.873761534690857
ConvNN-37k,37591.0,last_layer,kron,100.0,1.1951133,1.2014686,0.8092375,0.8134209,0.85859984375,318.2570408917618,317.44362,680,1.2045944975035814,317.45024531511746,2.0824170112609863
ConvNN-48k,48987.0,last_layer,kron,100.0,1.1093172,1.116398,0.6957021,0.6999578,0.748540234375,307.32065778799057,306.6207,760,1.119359626319809,306.62710885238823,2.152322292327881
ConvNN-62k,62006.0,last_layer,kron,100.0,1.1755575,1.185379,0.5637595,0.5683043,0.621868359375,366.9291443003082,366.36084,850,1.1890251641006397,366.3684436790847,2.9593405723571777
ConvNN-72k,72421.0,last_layer,kron,100.0,1.2020016,1.2138318,0.48313892,0.4876258,0.5440623828125,365.9773858075237,365.48976,930,1.2173074780735866,365.49734625713626,3.544834613800049
ConvNN-87k,87930.0,last_layer,kron,100.0,1.3363808,1.3511032,0.4515953,0.4563681,0.517256796875,422.5628080887223,422.10644,1010,1.3553793412929362,422.1151586133834,4.149688243865967
ConvNN-100k,100421.0,last_layer,kron,100.0,1.3987099,1.4163206,0.39550102,0.40029633,0.463550078125,448.357976330452,447.95768,1100,1.4208431595448787,447.9669156485241,4.941662311553955
ConvNN-118k,118551.0,last_layer,kron,100.0,1.480383,1.503936,0.26184893,0.26577768,0.335358203125,455.3546576772976,455.08888,1180,1.508674159672445,455.0982582753766,6.631796360015869
