model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal,normalized KL
ConvNN-2k,2548.0,last_layer,kron,100.0,1.5953375,1.5965608,1.5739025,1.5751156,1.6010353125,0.025919751014709558
ConvNN-5k,5001.0,last_layer,kron,100.0,1.5318635,1.5337656,1.4892095,1.4910526,1.51544359375,0.024390966186523366
ConvNN-9k,9663.0,last_layer,kron,100.0,1.3302507,1.3326652,1.2442402,1.2464762,1.2725428125,0.026066639099121103
ConvNN-15k,15888.0,last_layer,kron,100.0,1.2256057,1.2290889,1.0489055,1.0518825,1.085608359375,0.03372585395812999
ConvNN-21k,21344.0,last_layer,kron,100.0,1.2319814,1.2362162,1.0105805,1.0139974,1.053370546875,0.03937311130523691
ConvNN-30k,30119.0,last_layer,kron,100.0,1.1525669,1.1578511,0.8412873,0.8450608,0.88727984375,0.04221901840209963
ConvNN-37k,37591.0,last_layer,kron,100.0,1.1951133,1.2014686,0.8092374,0.8134209,0.85859984375,0.045178951988220195
ConvNN-48k,48987.0,last_layer,kron,100.0,1.1093091,1.1163888,0.6957018,0.69995725,0.748540234375,0.04858298282623286
ConvNN-62k,62006.0,last_layer,kron,100.0,1.1755714,1.1853932,0.5637657,0.56831044,0.621868359375,0.05355791978836055
ConvNN-72k,72421.0,last_layer,kron,100.0,1.2019778,1.2138078,0.4831463,0.48763275,0.5440623828125,0.05642963134765622
ConvNN-87k,87930.0,last_layer,kron,100.0,1.336403,1.3511254,0.45159867,0.45637092,0.517256796875,0.0608858769321442
ConvNN-100k,100421.0,last_layer,kron,100.0,1.3987049,1.416316,0.3955097,0.4003052,0.463550078125,0.06324486658096312
ConvNN-118k,118551.0,last_layer,kron,100.0,1.4803421,1.5038944,0.26184824,0.26577717,0.335358203125,0.0695810324668884
ConvNN-138k,138364.0,last_layer,kron,100.0,1.6072772,1.6373391,0.20991845,0.21360081,0.2837306640625,0.07012984972000125
ConvNN-153k,153738.0,last_layer,kron,100.0,1.5800748,1.613352,0.17833903,0.18154515,0.25444783203125,0.07290267877101897
ConvNN-175k,175981.0,last_layer,kron,100.0,1.6920075,1.7318507,0.14332974,0.1462119,0.2204812109375,0.07426930366992951
ConvNN-193k,193491.0,last_layer,kron,100.0,1.7872322,1.8343933,0.11939323,0.12189172,0.1969733203125,0.07508159822940827
ConvNN-218k,218355.0,last_layer,kron,100.0,1.8419689,1.9054234,0.079886794,0.0818992,0.159191640625,0.07729243726491927
ConvNN-244k,244962.0,last_layer,kron,100.0,2.053615,2.1365192,0.05457026,0.05606992,0.133442578125,0.07737265642285346
ConvNN-265k,265295.0,last_layer,kron,100.0,1.9963752,2.0805793,0.04957336,0.050954428,0.1271436328125,0.07618920524239539
ConvNN-294k,294272.0,last_layer,kron,100.0,2.0973916,2.1983185,0.03962296,0.04074279,0.116471181640625,0.07572839317679406
ConvNN-316k,316801.0,last_layer,kron,100.0,2.2047338,2.327876,0.028859966,0.029733432,0.103512666015625,0.073779233558774
ConvNN-348k,348399.0,last_layer,kron,100.0,2.1103182,2.2412152,0.024581619,0.025349116,0.0989549609375,0.07360584498465061
ConvNN-381k,381800.0,last_layer,kron,100.0,2.0625226,2.2080665,0.01799553,0.018570183,0.09009943359375,0.07152925074875355
ConvNN-407k,407092.0,last_layer,kron,100.0,2.028772,2.1763601,0.019675199,0.020318748,0.09339982421875,0.07308107578933239
ConvNN-442k,442803.0,last_layer,kron,100.0,2.1309357,2.3041685,0.018007677,0.018677473,0.091054326171875,0.0723768531036377
ConvNN-470k,470351.0,last_layer,kron,100.0,2.087395,2.2644532,0.017911183,0.018594896,0.09020568359375,0.07161078717291355
ConvNN-508k,508683.0,last_layer,kron,100.0,2.0822346,2.2652833,0.016211985,0.01685108,0.08844732421875,0.07159624363720417
ConvNN-548k,548878.0,last_layer,kron,100.0,2.0394177,2.2201655,0.015374838,0.015940716,0.087127294921875,0.0711865784317255
ConvNN-579k,579129.0,last_layer,kron,100.0,1.9475796,2.128105,0.015456185,0.016054528,0.086490146484375,0.0704356186503172
ConvNN-621k,621574.0,last_layer,kron,100.0,1.8851854,2.0619037,0.015172009,0.01573851,0.084975224609375,0.06923671501398086
ConvNN-654k,654141.0,last_layer,kron,100.0,1.9899019,2.1704159,0.015145273,0.015695332,0.085068046875,0.06937271525681019
ConvNN-699k,699207.0,last_layer,kron,100.0,1.9780773,2.1718953,0.015027465,0.015606403,0.08435251953125,0.06874611618041993
ConvNN-746k,746196.0,last_layer,kron,100.0,1.8519319,2.0187194,0.01455823,0.015041931,0.083987509765625,0.06894557916462421
ConvNN-781k,781406.0,last_layer,kron,100.0,1.8184161,1.9883187,0.014506788,0.015018833,0.082626962890625,0.06760813002079726
ConvNN-830k,830585.0,last_layer,kron,100.0,1.8733623,2.0546842,0.014890341,0.015441562,0.08357033203125,0.06812876998215914
ConvNN-868k,868171.0,last_layer,kron,100.0,1.783995,1.9496086,0.014630454,0.015160539,0.0828869921875,0.06772645300000905
ConvNN-919k,919971.0,last_layer,kron,100.0,1.7945386,1.9534523,0.013880498,0.014309637,0.0814900732421875,0.06718043599367142
ConvNN-973k,973754.0,last_layer,kron,100.0,1.7643031,1.9295368,0.014681843,0.015207825,0.082599814453125,0.06739198922455311
ConvNN-1013k,1013923.0,last_layer,kron,100.0,1.7391894,1.9045361,0.014016186,0.014489436,0.08192365234375,0.06743421675294638
ConvNN-1069k,1069836.0,last_layer,kron,100.0,1.7215892,1.8741807,0.014364873,0.014818848,0.0821184375,0.06729958938926459
ConvNN-1112k,1112441.0,last_layer,kron,100.0,1.6733394,1.8332245,0.014019721,0.0144610545,0.080721015625,0.06625996115833521
ConvNN-1170k,1170975.0,last_layer,kron,100.0,1.6661292,1.8186023,0.014065621,0.01450526,0.0808293212890625,0.06632406159639359
ConvNN-1231k,1231552.0,last_layer,kron,100.0,1.6954646,1.8648429,0.013750588,0.014209779,0.0807276708984375,0.06651789191901684
ConvNN-1276k,1276680.0,last_layer,kron,100.0,1.7015868,1.8740116,0.013698551,0.01416186,0.0796291943359375,0.06546733469694853
ConvNN-1339k,1339327.0,last_layer,kron,100.0,1.6760496,1.8371706,0.013830121,0.014295991,0.0807214111328125,0.06642542055398226
ConvNN-1386k,1386951.0,last_layer,kron,100.0,1.6433991,1.7981035,0.013646171,0.014077137,0.079552294921875,0.0654751576974988
ConvNN-1452k,1452219.0,last_layer,kron,100.0,1.6117814,1.7529527,0.013641206,0.014030215,0.079636865234375,0.06560664990395308
