model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal,normalized KL,inverse rate,s value,variance
ConvNN-2k,2548.0,last_layer,kron,6.602893352508545,1.5953351,1.5967339,1.5739056,1.5752941,1.583736875,0.0084427379989624,0.11752967555237959,0.008719222594573577,0.030540302395820618
ConvNN-5k,5001.0,last_layer,kron,10.681053161621094,1.5318573,1.5339518,1.4892112,1.4912318,1.50240890625,0.0111771071243285,0.12422814945668659,0.011453646408415952,0.04181484133005142
ConvNN-9k,9663.0,last_layer,kron,13.61765956878662,1.3302196,1.3330303,1.2442412,1.246838,1.26003578125,0.0131978076553345,0.13051151399256278,0.013474387354240868,0.06550830602645874
ConvNN-15k,15888.0,last_layer,kron,14.093487739562988,1.2255527,1.2294866,1.0489151,1.052276,1.0698925,0.0176164847183226,0.14027738467107587,0.01789315279253774,0.08299768716096878
ConvNN-21k,21344.0,last_layer,kron,13.85585594177246,1.2318906,1.2367547,1.0106065,1.0145189,1.034496875,0.0199780179977417,0.14488360771283948,0.020254733303567054,0.08650583028793335
ConvNN-30k,30119.0,last_layer,kron,14.940926551818848,1.1523685,1.1585132,0.8413368,0.8457178,0.8676984375,0.0219806497573852,0.1492477267731407,0.022257405116646818,0.09841708838939667
ConvNN-37k,37591.0,last_layer,kron,16.222949981689453,1.1948594,1.2021145,0.8093011,0.8140685,0.839172265625,0.0251037693977356,0.15557372616020348,0.025380587220639298,0.10231669247150421
ConvNN-48k,48987.0,last_layer,kron,16.27998924255371,1.1088701,1.1174381,0.6958398,0.7009703,0.7265609375,0.0255906454086303,0.1561753546058431,0.02586747296924897,0.10928157716989517
ConvNN-62k,62006.0,last_layer,kron,16.903446197509766,1.1748093,1.1863836,0.5639628,0.5692605,0.5988178125,0.0295573344802856,0.16381218449678703,0.02983424137627241,0.11741279810667038
ConvNN-72k,72421.0,last_layer,kron,17.3216495513916,1.2007102,1.2151594,0.48345953,0.48887968,0.519397578125,0.030517897491455,0.1659251528213712,0.030794823599086266,0.12323353439569473
ConvNN-87k,87930.0,last_layer,kron,18.09950256347656,1.3349394,1.3524425,0.45195124,0.45757392,0.4920094140625,0.0344354935741424,0.1742028634433641,0.034712498035262385,0.1267770528793335
ConvNN-100k,100421.0,last_layer,kron,18.82654571533203,1.3967519,1.4178133,0.39598054,0.4016613,0.4378857421875,0.0362244355678558,0.17807538496082875,0.03650147580853126,0.13298805058002472
ConvNN-118k,118551.0,last_layer,kron,17.71633529663086,1.4770137,1.5058267,0.26260772,0.26738268,0.305310546875,0.0379278655052184,0.18065675307628615,0.03820493981517399,0.13820086419582367
ConvNN-138k,138364.0,last_layer,kron,18.65718078613281,1.6021826,1.6397601,0.21089755,0.21545751,0.25406896484375,0.0386114509153366,0.18381459105470377,0.038888538897273825,0.14592118561267853
ConvNN-153k,153738.0,last_layer,kron,18.414365768432617,1.5734463,1.6164199,0.17960328,0.18369496,0.22281484375,0.0391198850631713,0.18339597062073976,0.03939698321399487,0.14482994377613068
ConvNN-175k,175981.0,last_layer,kron,19.062061309814453,1.683581,1.7354853,0.1448057,0.1485537,0.1886494921875,0.0400957929325103,0.18585343941419663,0.040372910601881626,0.14890532195568085
ConvNN-193k,193491.0,last_layer,kron,19.347177505493164,1.7750609,1.8387812,0.12121816,0.12459773,0.164488046875,0.0398903186225891,0.18623783026890095,0.04016743218239203,0.15136577188968658
ConvNN-218k,218355.0,last_layer,kron,19.299251556396484,1.8233691,1.911572,0.08223786,0.08514484,0.12491810546875,0.0397732652878761,0.18545253568956932,0.04005037650656552,0.15148328244686127
ConvNN-244k,244962.0,last_layer,kron,19.06961250305176,2.0258183,2.1451402,0.05748549,0.059896097,0.097847109375,0.0379510127878189,0.18478616162470418,0.0382280875607294,0.15681545436382294
ConvNN-265k,265295.0,last_layer,kron,19.326810836791992,1.963896,2.0904431,0.052873064,0.055277113,0.09148564453125,0.0362085316598415,0.18172874297015906,0.03648557158243244,0.156560018658638
ConvNN-294k,294272.0,last_layer,kron,19.34708595275879,2.0522356,2.2111874,0.043542493,0.045762073,0.08015287109375,0.0343907978451251,0.17987251333521126,0.034667801412312634,0.15900377929210663
ConvNN-316k,316801.0,last_layer,kron,19.032835006713867,2.1423936,2.3454015,0.033530913,0.035649378,0.066571142578125,0.0309217647254467,0.17439143524304312,0.0311986989105842,0.15906557440757751
ConvNN-348k,348399.0,last_layer,kron,18.53150177001953,2.036041,2.2626941,0.029792318,0.03198291,0.060651943359375,0.0286690334713459,0.1693996689320214,0.028945922600957207,0.15615004301071167
ConvNN-381k,381800.0,last_layer,kron,17.565143585205078,1.9644127,2.2375426,0.024259232,0.02657726,0.0503206201171875,0.0237433597719669,0.16040541123822516,0.024020150386133903,0.15530560910701752
ConvNN-407k,407092.0,last_layer,kron,18.28792762756348,1.9358418,2.2037508,0.02581621,0.028192053,0.0540608984375,0.0258688458198308,0.16412667982151663,0.026145678944568974,0.15567488968372345
ConvNN-442k,442803.0,last_layer,kron,18.62149810791016,2.0191188,2.3377614,0.025139384,0.027979016,0.051833876953125,0.0238548606491088,0.1618109069746665,0.02413165349333795,0.15722058713436127
ConvNN-470k,470351.0,last_layer,kron,19.289417266845703,1.9763888,2.2976258,0.024995944,0.027843248,0.0522645068359375,0.0244212587368488,0.16184358167336743,0.02469806290926627,0.15500183403491974
ConvNN-508k,508683.0,last_layer,kron,19.004196166992188,1.9615959,2.3030703,0.023977602,0.027017163,0.049571201171875,0.0225540380591154,0.15857828096445248,0.022830804886372413,0.15514245629310608
ConvNN-548k,548878.0,last_layer,kron,18.645273208618164,1.9116794,2.2599201,0.023152364,0.026071338,0.04777373046875,0.0217023924857377,0.15680201499752866,0.02197914227974258,0.15438087284564972
ConvNN-579k,579129.0,last_layer,kron,19.07257652282715,1.8222263,2.1698334,0.023554696,0.0266757,0.047905380859375,0.0212296815806627,0.15494125654974544,0.02150642192026039,0.15119552612304688
ConvNN-621k,621574.0,last_layer,kron,19.305320739746094,1.7602527,2.1053147,0.023374042,0.026478997,0.04711001953125,0.0206310230308771,0.15373167744198524,0.020907751397064325,0.15136918425559998
ConvNN-654k,654141.0,last_layer,kron,19.12905502319336,1.8592389,2.2133863,0.02326072,0.026302349,0.046937080078125,0.0206347312557697,0.15465439215243104,0.02091145969612291,0.15313361585140228
ConvNN-699k,699207.0,last_layer,kron,19.47754669189453,1.8377426,2.2185116,0.023721494,0.02703707,0.046684765625,0.0196476964235305,0.15336986014567988,0.01992440512279224,0.15353114902973175
ConvNN-746k,746196.0,last_layer,kron,18.912466049194336,1.7232326,2.0632918,0.022981767,0.025936391,0.045359375,0.0194229837954044,0.1515088330667005,0.019699688000323692,0.15110214054584503
ConvNN-781k,781406.0,last_layer,kron,19.658296585083008,1.6923505,2.0345442,0.02286429,0.02587124,0.045620341796875,0.0197491021943092,0.15156404004558355,0.02002581292172692,0.14918553829193115
ConvNN-830k,830585.0,last_layer,kron,20.10873794555664,1.7407347,2.1019945,0.023532793,0.026701167,0.0467454443359375,0.0200442771100997,0.1529236919537773,0.02032099374113381,0.15139071643352509
ConvNN-868k,868171.0,last_layer,kron,19.60997772216797,1.6581763,1.996088,0.02315397,0.026247188,0.0455601513671875,0.0193129629182815,0.1504012283132954,0.01958966492273924,0.14796565473079681
ConvNN-919k,919971.0,last_layer,kron,18.90299415588379,1.664072,2.0011368,0.022364877,0.025160968,0.0434479541015625,0.018286985797882,0.1487137139502397,0.01856366728238693,0.14885611832141876
ConvNN-973k,973754.0,last_layer,kron,20.03138732910156,1.6380653,1.9767658,0.02329189,0.0264107,0.0458305126953125,0.0194198119419813,0.1510145897883728,0.019696516083462255,0.14941640198230743
ConvNN-1013k,1013923.0,last_layer,kron,19.418067932128903,1.6061981,1.9530731,0.02283427,0.025900656,0.04427279296875,0.0183721366113424,0.14870476705618962,0.018648819798897664,0.14871864020824432
ConvNN-1069k,1069836.0,last_layer,kron,19.070735931396484,1.5939621,1.9217781,0.022751154,0.025608707,0.044172138671875,0.0185634314525127,0.1487884677539788,0.018840118466041306,0.1474796086549759
ConvNN-1112k,1112441.0,last_layer,kron,19.71459579467773,1.5449349,1.8841218,0.022856789,0.025816586,0.043953505859375,0.0181369199907779,0.14812484828408268,0.018413598473906664,0.14743614196777344
ConvNN-1170k,1170975.0,last_layer,kron,19.551916122436523,1.5407823,1.8670288,0.022664135,0.025559064,0.0438603173828125,0.0183012533819675,0.14750383250353938,0.01857793515182982,0.14549687504768372
ConvNN-1231k,1231552.0,last_layer,kron,19.92866325378418,1.5619988,1.9179817,0.02287614,0.026007121,0.0440248681640625,0.0180177467352151,0.14755352040872394,0.01829442283483108,0.1463577151298523
ConvNN-1276k,1276680.0,last_layer,kron,20.296655654907227,1.5660225,1.9293691,0.02294882,0.026152277,0.0437806591796875,0.0176283818143606,0.14730982919471902,0.017905050126522416,0.14672203361988068
ConvNN-1339k,1339327.0,last_layer,kron,19.829647064208984,1.5451343,1.8896683,0.0229718,0.026159627,0.04385541015625,0.0176957827931642,0.14644850455931357,0.017972452453372555,0.14507834613323212
ConvNN-1386k,1386951.0,last_layer,kron,19.78298568725586,1.5163933,1.8503116,0.022508923,0.02545931,0.0431356201171875,0.0176763100773096,0.14609421869380834,0.017952979348055845,0.14462323486804962
ConvNN-1452k,1452219.0,last_layer,kron,19.329099655151367,1.4905345,1.8019109,0.022029271,0.024699796,0.042679521484375,0.0179797254931926,0.14637398927061596,0.01825640083236853,0.14428086578845978
