model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal,normalized KL
ConvNN-4k,4928.0,last_layer,kron,0.009999999776482582,1.5686289,1.575898,1.5403206,1.5474553,1.6156253125,0.06817000167846676
ConvNN-7k,7774.0,last_layer,kron,0.009999999776482582,1.4495305,1.4571533,1.3856431,1.3928572,1.4639025,0.07104530605316173
ConvNN-12k,12672.0,last_layer,kron,0.009999999776482582,1.3218402,1.3296454,1.2108157,1.2178928,1.29250890625,0.07461614025115959
ConvNN-18k,18870.0,last_layer,kron,0.009999999776482582,1.2325411,1.2407568,1.0569739,1.0637871,1.14294296875,0.07915586605072011
ConvNN-24k,24166.0,last_layer,kron,0.009999999776482582,1.1917375,1.2003739,0.9402804,0.9469952,1.024511484375,0.077516285648346
ConvNN-32k,32589.0,last_layer,kron,0.009999999776482582,1.169467,1.1788981,0.84098035,0.8475913,0.926894765625,0.07930348468780513
ConvNN-39k,39410.0,last_layer,kron,0.009999999776482582,1.2218856,1.2322648,0.7774228,0.78371376,0.862962109375,0.07924835138320918
ConvNN-50k,50058.0,last_layer,kron,0.009999999776482582,1.1900058,1.2013227,0.6702598,0.67639273,0.75569109375,0.07929835969924925
ConvNN-62k,62006.0,last_layer,kron,0.009999999776482582,1.1705889,1.182954,0.56803364,0.57370424,0.651599296875,0.07789505416870113
ConvNN-71k,71277.0,last_layer,kron,0.009999999776482582,1.2458918,1.2592146,0.53815895,0.54361653,0.623423515625,0.07980698234558103
ConvNN-85k,85450.0,last_layer,kron,0.009999999776482582,1.3442739,1.3608615,0.42174757,0.42664635,0.5050780078125,0.07843165599822999
ConvNN-96k,96246.0,last_layer,kron,0.009999999776482582,1.3967956,1.4147942,0.38030127,0.38496953,0.463424921875,0.0784553893852234
ConvNN-112k,112644.0,last_layer,kron,0.009999999776482582,1.4291319,1.4501858,0.28853896,0.29240146,0.3682789453125,0.07587748251914977
ConvNN-130k,130342.0,last_layer,kron,0.009999999776482582,1.4422293,1.4677237,0.23792912,0.2412831,0.31670359375,0.07542048992633821
ConvNN-143k,143588.0,last_layer,kron,0.009999999776482582,1.670759,1.7018542,0.1774917,0.18037881,0.2559206640625,0.07554185449123385
ConvNN-163k,163511.0,last_layer,kron,0.009999999776482582,1.7917386,1.8305259,0.12931272,0.13163716,0.20787521484375,0.07623805883407592
ConvNN-178k,178282.0,last_layer,kron,0.009999999776482582,1.9346594,1.9853435,0.101720564,0.103553414,0.1771198046875,0.0735663903427124
ConvNN-200k,200430.0,last_layer,kron,0.009999999776482582,2.0964894,2.168368,0.058576323,0.05990694,0.13184416015625,0.07193721924901009
ConvNN-223k,223878.0,last_layer,kron,0.009999999776482582,2.01281,2.0868034,0.054973636,0.05627291,0.12639025390625,0.07011734486103058
ConvNN-241k,241099.0,last_layer,kron,0.009999999776482582,2.026064,2.1062682,0.052478857,0.053745832,0.1252356640625,0.07148983176827431
ConvNN-266k,266772.0,last_layer,kron,0.009999999776482582,2.0778322,2.1763847,0.040121015,0.04127239,0.108339296875,0.06706690624117852
ConvNN-285k,285518.0,last_layer,kron,0.009999999776482582,2.087972,2.2058382,0.032423824,0.03342508,0.100259912109375,0.06683483058810234
ConvNN-313k,313416.0,last_layer,kron,0.009999999776482582,2.0831325,2.2344022,0.02417222,0.025212912,0.088066396484375,0.06285348459541798
ConvNN-342k,342614.0,last_layer,kron,0.009999999776482582,1.9634982,2.1163657,0.023877125,0.024924953,0.087138349609375,0.06221339707255363
ConvNN-363k,363810.0,last_layer,kron,0.009999999776482582,2.0336933,2.2262897,0.020866688,0.022003178,0.08215716796875,0.0601539904153347
ConvNN-395k,395233.0,last_layer,kron,0.009999999776482582,2.0898185,2.337093,0.018151063,0.01942106,0.0780491015625,0.058628041924238206
ConvNN-417k,417954.0,last_layer,kron,0.009999999776482582,2.0097015,2.2419155,0.01811044,0.019439263,0.077628837890625,0.05818957462131977
ConvNN-451k,451602.0,last_layer,kron,0.009999999776482582,2.070506,2.3070838,0.017780622,0.019047886,0.0762892333984375,0.05724134726524353
ConvNN-486k,486550.0,last_layer,kron,0.009999999776482582,1.9048018,2.141338,0.017766628,0.01916749,0.0739904443359375,0.054822954032421115
ConvNN-511k,511721.0,last_layer,kron,0.009999999776482582,1.9809846,2.2262409,0.017693294,0.019021682,0.075369990234375,0.056348307793140415
ConvNN-548k,548894.0,last_layer,kron,0.009999999776482582,1.9183766,2.1602454,0.017519344,0.018847367,0.074752822265625,0.055905455470681195
ConvNN-575k,575590.0,last_layer,kron,0.009999999776482582,1.8982669,2.1424377,0.0176784,0.01904973,0.0752811376953125,0.05623140754342079
ConvNN-614k,614988.0,last_layer,kron,0.009999999776482582,1.9105484,2.163746,0.017491098,0.01895758,0.073835341796875,0.05487776228845119
ConvNN-655k,655686.0,last_layer,kron,0.009999999776482582,1.7443355,1.9685497,0.01736285,0.018698758,0.073499541015625,0.054800783501267436
ConvNN-684k,684832.0,last_layer,kron,0.009999999776482582,1.8221269,2.0634995,0.017372288,0.01870787,0.073651650390625,0.0549437808161974
ConvNN-727k,727755.0,last_layer,kron,0.009999999776482582,1.6785345,1.901941,0.01719095,0.01851142,0.0715777197265625,0.05306629961073399
ConvNN-758k,758426.0,last_layer,kron,0.009999999776482582,1.7709224,2.0021975,0.017309956,0.018620288,0.0724831005859375,0.053862812586426737
ConvNN-803k,803574.0,last_layer,kron,0.009999999776482582,1.747941,1.98582,0.017246356,0.018636657,0.0720034765625,0.053366819637417795
ConvNN-850k,850022.0,last_layer,kron,0.009999999776482582,1.6969416,1.9331584,0.017126935,0.018443035,0.0732599365234375,0.05481690156161785
ConvNN-883k,883143.0,last_layer,kron,0.009999999776482582,1.6843294,1.9203968,0.0172991,0.018720346,0.070918779296875,0.052198433725237844
