model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal,normalized KL,inverse rate,s value
ConvNN-4k,4928.0,last_layer,kron,25.818265914916992,1.5686558,1.5744964,1.540348,1.5460503,1.5660984375,0.0200481273651123,0.1389161062094495,0.020324844073153048
ConvNN-7k,7774.0,last_layer,kron,24.83967399597168,1.4495921,1.4560152,1.3856473,1.3917737,1.41345515625,0.0216814555358886,0.14430131551089498,0.021958204911146105
ConvNN-12k,12672.0,last_layer,kron,23.654766082763672,1.3219095,1.3289201,1.2107985,1.2171184,1.241558515625,0.0244401331710815,0.15026140399537669,0.024716937720995202
ConvNN-18k,18870.0,last_layer,kron,23.711231231689453,1.2326062,1.2402533,1.0569388,1.0633272,1.091337578125,0.0280103848648072,0.157664452161836,0.028287260821182908
ConvNN-24k,24166.0,last_layer,kron,22.68065643310547,1.1918396,1.1997988,0.94024366,0.9464254,0.9732403125,0.0268149341773986,0.15726753629137868,0.02709178622428237
ConvNN-32k,32589.0,last_layer,kron,21.83662414550781,1.1695839,1.1784778,0.8409517,0.8471776,0.875871640625,0.0286940159225463,0.1610847646653295,0.028970905551816622
ConvNN-39k,39410.0,last_layer,kron,19.33096694946289,1.2220826,1.2317562,0.7773537,0.7832464,0.813024296875,0.029777898902893,0.16377393145696661,0.03005481021025649
ConvNN-50k,50058.0,last_layer,kron,19.476470947265625,1.1902908,1.2008085,0.67017126,0.6758567,0.705806796875,0.0299500873947143,0.16454928823926984,0.030227002145916504
ConvNN-62k,62006.0,last_layer,kron,17.012805938720703,1.170966,1.1824061,0.56791383,0.5731974,0.6026078515625,0.0294104271507262,0.16352418955909287,0.029687331108507655
ConvNN-71k,71277.0,last_layer,kron,17.288192749023438,1.2461499,1.2589144,0.5380912,0.54332477,0.5740723828125,0.0307476142692565,0.16725760664284905,0.031024544971315206
ConvNN-85k,85450.0,last_layer,kron,15.82334327697754,1.3448384,1.3603867,0.42161343,0.42620763,0.4564864453125,0.0302788134860992,0.1681927975866564,0.030555734811954727
ConvNN-96k,96246.0,last_layer,kron,15.071428298950195,1.3974011,1.4143807,0.3801623,0.38457987,0.4152771875,0.0306973203754424,0.16884559279624445,0.030974250071603118
ConvNN-112k,112644.0,last_layer,kron,13.458505630493164,1.4299644,1.4495467,0.2883138,0.29192215,0.3209209375,0.028998785457611,0.1667690678309217,0.029275681182393935
ConvNN-130k,130342.0,last_layer,kron,12.751961708068848,1.4434578,1.4671036,0.23767895,0.24080878,0.26967529296875,0.0288665080070495,0.1658974957207653,0.029143401086230505
ConvNN-143k,143588.0,last_layer,kron,12.109978675842283,1.6725475,1.7011359,0.17720339,0.1798855,0.20948705078125,0.0296015441513061,0.16883889140181174,0.029878451931504017
ConvNN-163k,163511.0,last_layer,kron,11.87287425994873,1.7932123,1.8299706,0.12908742,0.13129784,0.1612692578125,0.029971416144371,0.17059114067260395,0.030248331322156725
ConvNN-178k,178282.0,last_layer,kron,11.17975616455078,1.9384663,1.9841499,0.1012809,0.10293193,0.131232861328125,0.0283009297132492,0.16872605892312054,0.0285778114806381
ConvNN-200k,200430.0,last_layer,kron,10.679754257202148,2.1016955,2.1668239,0.058048412,0.059221216,0.086261318359375,0.0270401028132438,0.16729338926208137,0.027316959363590354
ConvNN-223k,223878.0,last_layer,kron,10.708001136779783,2.018992,2.0850492,0.054369234,0.055495795,0.0808987451171875,0.0254029502546787,0.16352603413881117,0.02567977406131921
ConvNN-241k,241099.0,last_layer,kron,10.90450954437256,2.031381,2.1047642,0.051995497,0.053132,0.07934595703125,0.026213955720663,0.1649905179410498,0.026490795747737238
