model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal,normalized KL
ConvNN-2k,2548.0,last_layer,kron,0.10000000149011612,1.5953354,1.5967689,1.5739056,1.5753304,1.58863171875,0.013301342124939053
ConvNN-5k,5001.0,last_layer,kron,0.10000000149011612,1.5318501,1.534091,1.4892082,1.4913357,1.510539375,0.01920362537384035
ConvNN-9k,9663.0,last_layer,kron,0.10000000149011612,1.3302091,1.333261,1.2442412,1.2470491,1.2719678125,0.024918719253540056
ConvNN-15k,15888.0,last_layer,kron,0.10000000149011612,1.2255205,1.2295612,1.0489186,1.0523695,1.085226875,0.03285739963531498
ConvNN-21k,21344.0,last_layer,kron,0.10000000149011612,1.2318543,1.2369388,1.0106189,1.0146965,1.0525621875,0.037865708656311
ConvNN-30k,30119.0,last_layer,kron,0.10000000149011612,1.1522802,1.1587304,0.8413476,0.84594524,0.888981875,0.043036635932922396
ConvNN-37k,37591.0,last_layer,kron,0.10000000149011612,1.194602,1.2025455,0.80935997,0.8144907,0.863845,0.04935432407379148
ConvNN-48k,48987.0,last_layer,kron,0.10000000149011612,1.1087093,1.1178676,0.6959005,0.70139724,0.7544621875,0.053064947338104296
ConvNN-62k,62006.0,last_layer,kron,0.10000000149011612,1.1743275,1.1868823,0.56406915,0.56973493,0.630168359375,0.06043342838287358
ConvNN-72k,72421.0,last_layer,kron,0.10000000149011612,1.2002369,1.2157009,0.48357725,0.48934728,0.554168125,0.06482084592819215
ConvNN-87k,87930.0,last_layer,kron,0.10000000149011612,1.3343887,1.3528895,0.4520751,0.4579946,0.530188984375,0.0721943743038177
ConvNN-100k,100421.0,last_layer,kron,0.10000000149011612,1.3959529,1.4184277,0.3961745,0.4022203,0.4797571875,0.07753687871932985
ConvNN-118k,118551.0,last_layer,kron,0.10000000149011612,1.4756818,1.5066999,0.2629356,0.26808998,0.349588671875,0.08149869198799131
ConvNN-138k,138364.0,last_layer,kron,0.10000000149011612,1.5998248,1.6408494,0.2113599,0.21631874,0.302162890625,0.085844149184227
ConvNN-153k,153738.0,last_layer,kron,0.10000000149011612,1.5699812,1.6181002,0.18029699,0.18490115,0.27352162109375,0.0886204730129242
ConvNN-175k,175981.0,last_layer,kron,0.10000000149011612,1.6790631,1.7374547,0.14560576,0.14983508,0.2429885546875,0.09315347477912903
ConvNN-193k,193491.0,last_layer,kron,0.10000000149011612,1.7674729,1.8414568,0.12235777,0.12630498,0.22227416015625,0.09596917606353761
