model,parameters,train loss,test loss
ConvNN-2k,2548.0,1.5739118003845214,1.595327126979828
ConvNN-5k,5001.0,1.489190833568573,1.5318750858306884
ConvNN-9k,9663.0,1.2441841855049134,1.3304089665412904
ConvNN-15k,15888.0,1.048817449092865,1.2260513305664062
ConvNN-21k,21344.0,1.0104123702049255,1.2325462102890015
ConvNN-30k,30119.0,0.8409746518135071,1.1537253379821777
ConvNN-37k,37591.0,0.8087998647689819,1.1968792915344237
ConvNN-48k,48987.0,0.6950970337390899,1.1113606452941895
ConvNN-62k,62006.0,0.5627455118894577,1.1795963883399962
ConvNN-72k,72421.0,0.48181386017799377,1.2075025916099549
ConvNN-87k,87930.0,0.44977979171276095,1.3439997911453248
ConvNN-100k,100421.0,0.39318380308151246,1.408530604839325
ConvNN-118k,118551.0,0.2585080422759056,1.4951600790023805
ConvNN-138k,138364.0,0.20598368614912033,1.6275770783424377
ConvNN-153k,153738.0,0.17397755190730094,1.6027374863624573
ConvNN-175k,175981.0,0.13842107570171355,1.7199332952499389
ConvNN-193k,193491.0,0.11409311264753341,1.8217803120613099
ConvNN-218k,218355.0,0.0738214740306139,1.8899030447006226
ConvNN-244k,244962.0,0.048161208473145964,2.1176952958106994
ConvNN-265k,265295.0,0.043322017319500444,2.061468279361725
ConvNN-294k,294272.0,0.033379369504749776,2.177197217941284
ConvNN-316k,316801.0,0.022708924748003484,2.303046536445618
ConvNN-348k,348399.0,0.018700265198946,2.214092755317688
ConvNN-381k,381800.0,0.012646414570510387,2.177820014953613
ConvNN-407k,407092.0,0.01397489596158266,2.1463141441345215
ConvNN-442k,442803.0,0.01189401239156723,2.2691863059997557
ConvNN-470k,470351.0,0.011661690331995487,2.228877854347229
ConvNN-508k,508683.0,0.010080953177064656,2.2272642850875854
ConvNN-548k,548878.0,0.009700114620849491,2.1828490138053893
ConvNN-579k,579129.0,0.009590144315734506,2.0892841458320617
ConvNN-621k,621574.0,0.009442533325403929,2.0229645729064942
ConvNN-654k,654141.0,0.009531162118539214,2.1319556713104246
ConvNN-699k,699207.0,0.009145494876429438,2.1308130025863647
ConvNN-746k,746196.0,0.009261081665754319,1.9820150017738343
ConvNN-781k,781406.0,0.009136480260640383,1.949391496181488
ConvNN-830k,830585.0,0.009182309048250318,2.013810622692108
ConvNN-868k,868171.0,0.009222326193004846,1.9113356947898865
ConvNN-919k,919971.0,0.008951908975839615,1.9168248772621155
ConvNN-973k,973754.0,0.00929788021557033,1.891252827644348
ConvNN-1013k,1013923.0,0.008851510317996145,1.867284619808197
ConvNN-1069k,1069836.0,0.009517984848469496,1.8384844303131103
ConvNN-1112k,1112441.0,0.008982418697327375,1.7947089314460754
ConvNN-1170k,1170975.0,0.00916810781136155,1.782547378540039
ConvNN-1231k,1231552.0,0.008558069119229912,1.8241583228111267
ConvNN-1276k,1276680.0,0.008511677930131554,1.8320250153541564
ConvNN-1339k,1339327.0,0.008751767987385393,1.79825679063797
ConvNN-1386k,1386951.0,0.00880648598819971,1.7600501775741577
ConvNN-1452k,1452219.0,0.009141035679727792,1.7184423685073853
